Naziv,Šifra,Područje djelatnosti,Adresa,Web_stranica,,,,
"D.O.O. ""MBN Klub"" ",16 10,Testerisanje i blanjanje drveta (proizvodnja rezane grade); impregnacija drveta,Veljka Mlađenovića bb,,,,,
DRVOREZ d.o.o. Banja Luka ,16 10,Testerisanje i blanjanje drveta (proizvodnja rezane grade); impregnacija drveta,LJubačevo 69E,https://drvorez.com/,,,,
"D.O.O.""AM MEĐUGORJE""",16 23,Proizvodnja ostale gradevinske stolarije i elemenata,Put srpskih branilaca 342,http://www.ammedjugorje.com/,,,,
"""DRVO PRODEX""doo",16 10,Testerisanje i blanjanje drveta (proizvodnja rezane grade); impregnacija drveta,Karanovac 3,https://www.drvoprodex.com/,,,,
PRODUKT d.o.o. BanjaLuka,16.29,"Proizvodnja ostalih proizvoda od drveta, proizvodnja predmeta od pluta, slame i pletarskih materijal",Čarlija Čaplina br 26,https://www.produktdoo.com/,,,,
TREND M&V d.o.o. Banja Luka ,16.22,Proizvodnja sastavljenog parketa,Veljka Mlađenovića bb,,,,,
1. MAJ - DRVODJELSKA a.d. Banja Luka,16 23,Proizvodnja ostale gradevinske stolarije i elemenata,Pilanska 3,,,,,
"""JELA-MD""DOO",16 10,Testerisanje i blanjanje drveta (proizvodnja rezane grade); impregnacija drveta,Prijakovci bb,,,,,
BTS Euromark d.o.o. Banja Luka,16 10,Testerisanje i blanjanje drveta (proizvodnja rezane grade); impregnacija drveta,Braće Mažar  48 ,,,,,
BILUMI d.o.o. Banja Luka,16 10,Testerisanje i blanjanje drveta (proizvodnja rezane grade); impregnacija drveta,Šargovačka 31,,,,,
KMK d.o.o. Banja Luka ,16 23,Proizvodnja ostale gradevinske stolarije i elemenata,Veljka Mlađenovića bb,,,,,
VETKOM d.o.o. Banja Luka,31 09,Proizvodnja ostalog namjestaja,Pilanska bb,,,,,
GMP KOMPANI d.o.o. BanjaLuka,31 09,Proizvodnja ostalog namjestaja,Bilećka 2F,http://www.gmpkompani.com/,,,,
"""GALERIJA Mc MILAN"" DOO ",31 09,Proizvodnja ostalog namjestaja,Veljka Mlađenovića bb ,,,,,
KACAVENDA D.O.O. BANJA LUKA ,31 02,Proizvodnja kuhinjskog namjestaja,Potkozarska 9,,,,,
NOVA DI VRBAS d.o.o. Banja Luka ,31 09,Proizvodnja ostalog namjestaja,Braće Pišteljic  4,https://nova-di-vrbas.ba/,,,,
WALSCHOT BIOENERGY d.o.o. Banja Luka,16 29,"Proizvodnja ostalih proizvoda od drveta, proizvodnja predmeta od pluta, slame i pletarskih materijal",Bulevar vojvode Stepe Stepanovića 173,,,,,
TTW D.O.O. BANJA LUKA ,31 09,Proizvodnja ostalog namjestaja,Kralja Alfonsa XIII 21,,,,,
WIDEL D.O.O.,16 10,Testerisanje i blanjanje drveta (proizvodnja rezane grade); impregnacija drveta,Skendera Kulenovića 14,,,,,
MWN d.o.o. Banja Luka ,31 09,Proizvodnja ostalog namjestaja,XII kuljanska  26,,,,,
FOREST BIO-ENERGY d.o.o. Banja Luka ,16 10,Testerisanje i blanjanje drveta (proizvodnja rezane grade); impregnacija drveta,Bulever vojvode Stepe Stepanovića 173,,,,,
ROLO-PROF d.o.o. Banja Luka ,16 23,Proizvodnja ostale gradevinske stolarije i elemenata,Cetinjska 1,,,,,
ALEDRA d.o.o. Banja Luka,16 10,Testerisanje i blanjanje drveta (proizvodnja rezane grade); impregnacija drveta,Trive Amelice  39,,,,,
RAIDL.co d.o.o. Banja Luka,16 10,Testerisanje i blanjanje drveta (proizvodnja rezane grade); impregnacija drveta,Mladena Stojanovića  117A,,,,,
"""Floorcenter""d.o.o. Banja Luka",16 22,Proizvodnja sastavljenog parketa,NJegoševa 37,,,,,
DTI INDUSTRIJA d.o.o. Banja Luka,16 29,"Proizvodnja ostalih proizvoda od drveta, proizvodnja predmeta od pluta, slame i pletarskih materijal",Aleja Svetog Save 7A,,,,,
ARBO STUDIO d.o.o.,31 01,Proizvodnja namjestaja za poslovne i prodajne prostore,Krajiških brigada 17,,,,,
ECOFIPd.o.o ,16 29,"Proizvodnja ostalih proizvoda od drveta, proizvodnja predmeta od pluta, slame i pletarskih materijal",Bulevar Stepe Stepanovića 163,,,,,
MAVECO d.o.o. Banja Luka,16 10,Testerisanje i blanjanje drveta (proizvodnja rezane grade); impregnacija drveta,Braće Potkonjaka  10,,,,,
V SISTEM d.o.o. Banja Luka,31 09,Proizvodnja ostalog namjestaja,Motike bb,,,,,
KONA d.o.o. Banja Luka,16 24,Proizvodnja ambalaze od drveta,Ramici bb,,,,,
MILINKOVIC d.o.o Banja Luka ,16 23,Proizvodnja ostale gradevinske stolarije i elemenata,Rade Radica 387 ,http://www.neso-stolarija.com/,,,,
DRVALEX doo Banja Luka,16 10,Testerisanje i blanjanje drveta (proizvodnja rezane grade); impregnacija drveta,Bočac bb,http://www.drvex.com/,,,,
Grupa TNT d.o.o. Banja Luka ,31 01,Proizvodnja namjestaja za poslovne i prodajne prostore,Veljka Mlađenovića bb,http://grupatntdoo.com/,,,,
STARTERS SOUTHEAST EUROPE d.o.o. Skracena oznaka poslovnog imena na srpskom jeziku glasi,16 29,"Proizvodnja ostalih proizvoda od drveta, proizvodnja predmeta od pluta, slame i pletarskih materijal",Srpska 99,,,,,
SOB WOOD BH d.o.o. prevod skracenogposlovnog imenana srpskom jeziku,16 24,Proizvodnja ambalaze od drveta,Miše Stupara 4,,,,,
